Ceremony,Date,Best Film,Host(s),Venue,"City, Country"
1st,24 June 2000,Hum Dil De Chuke Sanam,Yukta Mookhey Anupam Kher,Millennium Dome,"London, United Kingdom"
2nd,16 June 2001,Kaho Naa... Pyaar Hai,Priyanka ChopraKabir Bedi,Superbowl Arena,"Sun City, South Africa"
3rd,6 April 2002,Lagaan,Lara Dutta,Arena of Stars,"Genting Highlands, Malaysia"
4th,17 May 2003,Devdas,Anil KapoorDia Mirza,Coca-Cola Dome,"Johannesburg, South Africa"
5th,22 May 2004,Kal Ho Naa Ho,Rahul Khanna,Singapore Indoor Stadium,"Singapore, Singapore"
6th,11 June 2005,Veer-Zaara,Shahrukh KhanFardeen KhanKaran Johar,Amsterdam Arena,"Amsterdam, Netherlands"
7th,17 June 2006,Black,Fardeen KhanLara Dutta,Dubai International Convention Centre,"Dubai, United Arab Emirates"
8th,9 June 2007,Rang De Basanti,Boman IraniLara Dutta,Hallam FM Arena,"Sheffield, United Kingdom"
9th,8 June 2008,Chak De! India,Boman IraniRitesh Deshmukh,Siam Paragon,"Bangkok, Thailand"
10th,13 June 2009,Jodhaa Akbar,Boman IraniRitesh DeshmukhLara Dutta,The Venetian Macao,"Macau, Macau"
11th,5 June 2010,3 Idiots,Boman IraniRitesh DeshmukhLara Dutta,Sugathadasa Stadium,"Colombo, Sri Lanka"
12th,25 June 2011,Dabangg,Boman IraniRitesh Deshmukh,Rogers Centre,"Toronto, Canada"
13th,9 June 2012,Zindagi Na Milegi Dobara,Shahid KapoorFarhan Akhtar,Singapore Indoor Stadium,"Singapore, Singapore"
14th,6 July 2013,Barfi!,Salman KhanAkshay Kumar,The Venetian Macao,"Macau, Macau"
15th,26 April 2014,Bhaag Milkha Bhaag,Shahid KapoorFarhan Akhtar,Raymond James Stadium,"Tampa, United States"
16th,7 June 2015,Queen,Arjun KapoorRanveer Singh,Putra Indoor Stadium,"Kuala Lumpur, Malaysia"
17th,25 June 2016,Bajrangi Bhaijaan,Shahid KapoorFarhan Akhtar[4],IFEMA,"Madrid, Spain"
18th,14–15 July 2017[5],Neerja,"Karan Johar
Saif Ali Khan",MetLife Stadium,"New Jersey, United States"
19th,22–24 June 2018,Tumhari Sulu,Karan JoharRiteish Deshmukh,Siam Niramit Theatre,"Bangkok, Thailand"
20th,18 September 2019,Raazi,Ayushmann KhurranaAparshakti Khurana,Sardar Vallabhbhai Patel Indoor Stadium,"Mumbai, India"
21st,24 November 2021,Kabir Singh,The ceremony was cancelled due to COVID-19 pandemic. The winners were announced through Instagram.,The ceremony was cancelled due to COVID-19 pandemic. The winners were announced through Instagram.,The ceremony was cancelled due to COVID-19 pandemic. The winners were announced through Instagram.
22nd,2–4 June 2022,Shershaah,Salman Khan Riteish DeshmukhManiesh Paul,Etihad Arena,"Abu Dhabi, United Arab Emirates"
23rd,26–27 May 2023,Drishyam 2,Vicky KaushalAbhishek Bachchan,Etihad Arena,"Abu Dhabi, United Arab Emirates"
24th,28 September 2024,Animal,Shah Rukh KhanKaran JoharVicky Kaushal,Etihad Arena,"Abu Dhabi, United Arab Emirates"
25th,8–9 March 2025,Laapataa Ladies,"Karan Johar, Kartik Aaryan",Jaipur Exhibition & Convention Centre,"Jaipur, India"
